price,location,brand,model,km_driven,vehicle_type,engine_capacity,origin,age,brand_model,description,xe_zin,xe_da_thay_doi,xe_co,xe_pkl,xe_chinh_chu,xe_nang_cap,log_km,km_per_year,vehicle_type_num,engine_capacity_num,origin_num,is_outlier,cluster,cluster_label
100.0,Quận 1,Honda,SH,8000,Tay ga,100 - 175 cc,Other,20,Honda SH,honda sh ý nguyên bản ai có nhu cầu mua xe liên hệ số điện thoại xem xe trực tiếp quận hcm,True,False,False,False,False,False,8.987321812850125,380.95238095238096,1,0,3,False,0,Xe PKL/Cao Cấp - Giá Cao
14.8,Quận 1,SYM,Wolf,10000,Tay côn/Moto,100 - 175 cc,Đài Loan,9,SYM Wolf,bán xe wolf chính chủ tình trạng đồ nguyên bản còn có độ xe cafe nhẹ động cơ êm ái ái mạnh nổ thì thầm hệ thống đèn còi xi nhan còn hoạt động chạy tốt biển số tp dễ nhìn chia sẽ cho anh em cùng đam mê xem xe quận hoặc tân bình buổi tối cảm ơn chợ chạy tốt đã duyệt tin,True,False,False,False,True,True,9.210440366976517,1000.0,0,0,7,False,5,Tay Ga - Đã Nâng Cấp
18.5,Quận 1,Yamaha,Exciter,20000,Xe số,100 - 175 cc,Nhật Bản,11,Yamaha Exciter,exciter nguyên bản xuống áo ngay chủ exciter máy nguyên bản nhẹ xe xuống áo chuẩn biển số thành phố xe ngay mình đứng tên anh em mau lẹ bớt lộc liên hệ ky con phuong nguyên thái bình quận bạn nào có air blade hoac lead trao đổi bù trừ tuy theo đời xe nhé,True,False,False,False,True,False,9.90353755128617,1666.6666666666667,2,0,2,False,2,Tay Ga Zin - Chính Chủ
37.0,Quận 1,Honda,Vario,900,Tay ga,100 - 175 cc,Việt Nam,1,Honda Vario,siêu lướt như mới dính pháp lý hôn nhân vario xe nhà ít đi siêu lướt siêu mới dính pháp lý hôn nhân chính chủ ghi giấy tay kèm căn cước công dân,False,False,False,False,True,False,6.803505257608338,450.0,1,0,6,False,8,Tay Ga - Chính Chủ (Không Zin)
6.0,Quận 1,Honda,other,300000,Tay ga,100 - 175 cc,Other,24,Honda other,xe vespa paggio xanh cần bán xe vespa xanh ngọc như hình tại quận,False,False,False,False,False,False,12.611541086966115,12000.0,1,0,3,False,1,Xe Số Cũ - Giá Rẻ
11.0,Quận 1,Honda,Air Blade,70000,Tay ga,100 - 175 cc,Nhật Bản,2,Honda Air Blade,bán xe air blade đầu bò đen nhám dư xe cần bán có giảm giá mọi chức năng hoạt động bình thường khung sườn rất mới nội thất không hoen rỉ mục nát đinh tán còn sơn phết có chống trộm chỉ có dàn áo trầy nhẹ theo năm tháng miễn trung gian xe biển tp mua bán công chứng giữa người mua bán giao giấy đăng ký,False,False,False,False,False,False,11.156264806643742,23333.333333333332,1,0,2,False,10,Tay Ga Phổ Thông - Đại Trà
83.0,Quận 1,Honda,Cub,8600,Xe số,100 - 175 cc,Thái Lan,3,Honda Cub,bán cup xe như mới đầy đủ phụ kiện theo xe mới bán cup xe như mới đầy đủ phụ kiện theo xe mới lấy xe đen mới mua đưa qua do đổi xe đen nên nhượng lại xe xanh chỉ để dành đi học giấy đăng ký chính chủ bso còn mới đẹp có thể uỷ quyền cho khách đi thoải mái giảm giá nhẹ cho anh em chung đam mê cup,False,False,False,False,True,True,9.059633754551479,2150.0,2,0,4,False,5,Tay Ga - Đã Nâng Cấp
33.0,Quận 1,Honda,Vario,27000,Tay ga,100 - 175 cc,Việt Nam,6,Honda Vario,vario đen bán xe như ảnh chính chủ uỷ quyền lần mua về chỉ đổ xăng là đi nhớt lọc gió mới thay lọc gió không n bớt không cho người thiện chí mua lưu ý mấy a cò vạc khướu tu hú có thấy tin e đăng thì đừng trả giá dìm e chỉ bớt không cho người thiện chí mua sử dụng còn trả dưới giá e không bán đỡ mất thời gian đôi bên,False,False,False,False,True,False,10.203629181337648,3857.1428571428573,1,0,6,False,8,Tay Ga - Chính Chủ (Không Zin)
30.0,Quận 1,Piaggio,Vespa,23000,Tay ga,100 - 175 cc,Other,9,Piaggio Vespa,cần bán xe vespa cũ vie đời màu trắng xe còn vận hành chạy tốt do ít sử dụng nên bán lại khách thiện chí có thể thương lượng được giá chạy tốt,False,False,False,False,False,False,10.043292972227004,2300.0,1,0,3,False,10,Tay Ga Phổ Thông - Đại Trà
65.0,Quận 1,Honda,SH,38000,Tay ga,100 - 175 cc,Other,17,Honda SH,bán nhanh lẹ hàng quốc dân anh em ai cũng thích dễ chơi dễ trải nghiệm honda sh ý đời dọn full fom ý anh em nhìn hình đánh giá em bán nhanh gọn lẹ xxx tiểu học anh em dễ chơi công chúng mua bán nhanh gọn lẹ sau khi giao dịch thành công em ở quận em khanh lubu tuổi,False,False,False,False,False,True,10.545367754151743,2111.1111111111113,1,0,3,False,5,Tay Ga - Đã Nâng Cấp
29.9,Quận 1,Honda,Vision,2642,Tay ga,100 - 175 cc,Việt Nam,3,Honda Vision,honda vision mới màu xanh đen nhám honda vision đời giá triệu không hãng xe honda đăng ký bao rút hồ sơ đảm bảo giấy tờ sang tên thoải mái dung tích chính chủ phun xăng điện tử fi màu xanh đen cam kết động cơ và máy nguyên nguyên bản xe không đâm đụng không ngập nước,True,False,False,False,True,False,7.879669914604289,660.5,1,0,6,False,2,Tay Ga Zin - Chính Chủ
9.0,Quận 1,Honda,Wave,450000,Xe số,100 - 175 cc,Việt Nam,10,Honda Wave,wave s giá thương lượng xe nhà ít dùng nên bán lốp xe mới ngoại hình còn mới máy chạy êm ái giá thương lượng cho khách thiện chí,False,False,False,False,False,False,13.017005083966255,40909.09090909091,2,0,6,False,4,Tay Ga - Cường Độ Cao (Taxi/Grab)
15.0,Quận 1,Honda,Wave,6000,Xe số,100 - 175 cc,Việt Nam,11,Honda Wave,do đổi xe cần sang xe bán xe wave rsx fi cần bán giữ kỹ chạy ít cho ai có nhu cầu cần thiết sử dụng nhanh gọn bớt chút lộc cho ai tới sớm,False,False,False,False,False,False,8.699681400989514,500.0,2,0,6,False,10,Tay Ga Phổ Thông - Đại Trà
31.999,Quận 1,Honda,CBR,9999,Tay côn/Moto,100 - 175 cc,Other,6,Honda CBR,honda cbr cần bán cbr năm xe ít đi anh chị nào quan tâm xin liên lạc xem xe xin cảm ơn anh chị đã đọc tin,False,False,False,False,False,False,9.210340371976184,1428.4285714285713,0,0,3,False,10,Tay Ga Phổ Thông - Đại Trà
19.0,Quận 1,Honda,Winner X,5000,Tay côn/Moto,100 - 175 cc,Việt Nam,6,Honda Winner X,bán xe winner x kẹt tiền cần cần bán nhanh xe mua cho con chạy mà giờ nhóc đi làm hàng ngày nước ngoài không ai chạy em cần bán lại xe còn mới bao tranh chấp,False,False,False,False,False,False,8.517393171418904,714.2857142857143,0,0,6,False,10,Tay Ga Phổ Thông - Đại Trà
7.0,Quận 1,Honda,SCR,15000,Tay ga,100 - 175 cc,Trung Quốc,15,Honda SCR,bán xe tay ga honda scr đời đầu còn vận hành chạy tốt bán xe tay ga honda scr đời đầu còn vận hành chạy tốt xe nữ đi nên máy còn chạy rất êm ái liên hệ,False,False,False,False,False,False,9.61587214452889,937.5,1,0,5,False,10,Tay Ga Phổ Thông - Đại Trà
4.3,Quận 1,Suzuki,Hayate,55000,Tay ga,100 - 175 cc,Nhật Bản,14,Suzuki Hayate,cần bán hayate động cơ êm ái ái biển số thành phố xe bao tranh chấp động cơ êm ái ái biển thành phố mua về là sử dụng thích hợp cho anh em đi làm hàng ngày giao dịch trực tiếp quận tphcm,False,False,False,False,False,False,10.915106645867503,3666.6666666666665,1,0,2,False,10,Tay Ga Phổ Thông - Đại Trà
32.0,Quận 1,Yamaha,Exciter,48364,Tay côn/Moto,100 - 175 cc,Nhật Bản,3,Yamaha Exciter,cần bán exciter chính chủ biển số thành phố xe biển số thành phố sang tên hay uỷ quyền đều được xem xe tại quận liên hệ số điện thoại zalo,False,False,False,False,True,False,10.786531690616647,12091.0,0,0,2,False,8,Tay Ga - Chính Chủ (Không Zin)
12.5,Quận 1,Honda,Wave,30000,Xe số,100 - 175 cc,Việt Nam,7,Honda Wave,ban xe xe nhà đang đi đời chính chủ máy nguyên nguyên bản giá trieu,True,False,False,False,True,False,10.308985993422082,3750.0,2,0,6,False,2,Tay Ga Zin - Chính Chủ
87.0,Quận 1,Honda,SH,9500,Tay ga,100 - 175 cc,Việt Nam,3,Honda SH,honda sh i abs chính chủ cần bán bán xe honda sh i abs xe chính chủ đỏ còn mới đẹp như mới biển số thành phố giá đ xe tại vũng tàu thông tin xe dòng xe honda honda sh i abs màu đỏ đô sang trọng đăng ký tháng quãng đường khuyến mãi biển số thành phố tình trạng xe chính chủ đi rất ít giữ kỹ như mới chưa từng ngập nước hay đâm đụng máy móc nguyên bản nguyên bản xe phù hợp cho anh chị cần một chiếc tay ga cao cấp đi êm ái kiểu dáng sang trọng giá hợp lý so với xe mới,True,False,False,False,True,False,9.15915233520675,2375.0,1,0,6,False,2,Tay Ga Zin - Chính Chủ
43.0,Quận 1,Honda,other,5000,Tay ga,100 - 175 cc,Other,6,Honda other,cần bán xe vespa primaria iget xe nữ đi lại máy còn mới biển số sài gòn còn mới đẹp,False,False,False,False,False,False,8.517393171418904,714.2857142857143,1,0,3,False,10,Tay Ga Phổ Thông - Đại Trà
3.2,Quận 1,SYM,Attila,10000,Tay ga,100 - 175 cc,Nhật Bản,16,SYM Attila,giao dịch tận nhà cần giấy tay thì thì manb giấy xe cũ không chạy đã lâu giấy tờ đầy đủ cần giấy tay thì mang giấy và viết,False,False,False,False,False,False,9.210440366976517,588.2352941176471,1,0,2,False,10,Tay Ga Phổ Thông - Đại Trà
21.0,Quận 1,Piaggio,Zip,8000,Tay ga,100 - 175 cc,Việt Nam,6,Piaggio Zip,xe nha ich su dung tinh trang xe hoan hao xe piaggio tât ca ðêu hoat ðông rât tôt xe không thây phu tung tât ca chinh hang,False,False,False,False,False,False,8.987321812850125,1142.857142857143,1,0,6,False,10,Tay Ga Phổ Thông - Đại Trà
70.0,Quận 1,Honda,SH,52000,Tay ga,100 - 175 cc,Nhật Bản,5,Honda SH,cần bán xe honda sh i việt nam thắng cbs màu đen nhám xe nhà đi kỹ có trầy theo năm tháng xe chính chủ không phải cửa hàng mua bán hay trung gian mẫu đăng ký t chiếc cuối cùng ở sg xe màu đen nhám máy móc chưa bung xe vừa thay ngớt dây coro bình nước mát xem xe tại quận không bán cho ac cửa hàng hay mô giới xe chính chủ đăng ký,False,False,False,False,True,False,10.859018228147887,8666.666666666666,1,0,2,False,8,Tay Ga - Chính Chủ (Không Zin)
10.8,Quận 1,Honda,Wave,500,Xe số,50 - 100 cc,Trung Quốc,1,Honda Wave,giấy tờ đầy đủ biển ngoại hình còn mới đẹp áo mới tem phuộc nhún nice cdn nhôm võ mới rổ thái choá bọng full mới máy móc êm ái nhẹ full chức năng giấy tờ đầy đủ biển,False,False,False,False,False,False,6.2166061010848646,250.0,2,1,5,False,10,Tay Ga Phổ Thông - Đại Trà
35.5,Quận 1,Yamaha,R,20000,Tay côn/Moto,100 - 175 cc,Việt Nam,6,Yamaha R,r v đen nhám tình hình là lên chính chủ nên nhượng lại đam mê cho anh em chơi xe mình bảo dưỡng định kỳ định kỳ tháng lần thay dầu không khuyến mãi bình mới vào số đồ chơi phuộc nhún nitro bình dầu chống đổ sườn ống xả lon sc có gắn tiêu trợ lực fullpass cnc vàng đèn bi cầu trợ sáng kenzo chắn bùn giá đỡ điện thoại gương cánh gió xi nhan tặng thêm cặp kính nguyên bản túi đựng đồ pat trên bình xăng bắng này đồ chơi găn thêm cộng bảo dưỡng định kỳ thường xuyên nên anh em đừng ép giá nhé,True,False,False,False,True,True,9.90353755128617,2857.1428571428573,0,0,6,False,5,Tay Ga - Đã Nâng Cấp
49.0,Quận 1,Peugeot,Django,1363,Tay ga,50 - 100 cc,Other,4,Peugeot Django,chính chủ bán xe chính hang xe pháp hãng xe pháp nổi tiếng hình sư tử peugeot xe đăng ký năm và dính covid nên xe chạy rất ít và nữ chạy cẩn thânh nên còn rất mới máy móc nguyên bản thời gian sử dụng thực tế chưa tới năm giấy tờ chính chủ,True,False,False,False,True,False,7.218176838403408,272.6,1,1,3,False,2,Tay Ga Zin - Chính Chủ
64.999999,Quận 1,Honda,Click,25000,Xe số,100 - 175 cc,Thái Lan,10,Honda Click,click thái trắng xe gốc phú nhuận chủ chạy kỹ ngoại hình còn mới đẹp tưng máy móc chưa chỉnh sửa quãng đường không khuyến mãi không tua máy móc phanh nhớt đã được kiểm tra vệ sinh bảo dưỡng định kỳ bao công chứng giấy tờ hợp lệ liên hệ a nhựt nguyễn cư trinh số điện thoại,False,False,False,False,False,False,10.12667110305036,2272.7272727272725,2,0,4,False,10,Tay Ga Phổ Thông - Đại Trà
11.5,Quận 1,Honda,Lead,50000,Tay ga,100 - 175 cc,Việt Nam,13,Honda Lead,bán xe nhà do mới mua xe mới nên em cho ra đi bé này lead cuối đá chống tắt máy ngoại hình còn mới đẹp lung linh máy móc bao êm ái chính chủ ký giấy xe em chạy hàng ngày nên anh chị em yên tâm dư dùng em mới bán nhà gần chùa không nói dóc anh chị em cần xe inbox hoặc alo mua liền bớt lộc chút đỉnh,False,False,False,False,True,False,10.819798284210286,3571.4285714285716,1,0,6,False,8,Tay Ga - Chính Chủ (Không Zin)
23.0,Quận 1,Honda,other,120000,Xe số,100 - 175 cc,Việt Nam,3,Honda other,honda future xe mình đang đứng ủy quyền date cao nhận giao lưu với xe ga cho vợ mình xem xe tại quận sau giờ hành chánh,False,False,False,False,False,False,11.695255355062795,30000.0,2,0,6,False,4,Tay Ga - Cường Độ Cao (Taxi/Grab)
12.8,Quận 1,Honda,@,1,Xe số,100 - 175 cc,Việt Nam,7,Honda @,wave hàng về anh chị nào cần xe đi làm hàng ngày đi cày bừa hú em wave biển số thành phố chính chủ máy móc nguyên êm ái nguyên bản dá triệu bớt lộc call,True,False,False,False,True,False,0.6931471805599453,0.125,2,0,6,False,6,Tay Ga - Mới/Ít Km
4.3,Quận 1,SYM,Attila,40000,Tay ga,100 - 175 cc,Other,21,SYM Attila,xe nhà đi không dùng nữa ai cần inbox ạ có trầy theo năm tháng máy móc êm ái chạy thoải mái về quê bình thường,False,False,False,False,False,False,10.596659732783579,1818.1818181818182,1,0,3,False,10,Tay Ga Phổ Thông - Đại Trà
45.0,Quận 1,Honda,Air Blade,80000,Tay ga,100 - 175 cc,Việt Nam,5,Honda Air Blade,airblade airblade cần bán full máy dên lightspeed lòng redleo full aracer mini af sensor autotune cực nhạy ống xả nguyên bản móc lọc gió dna nồi canh theo bài đầu nguyên bản làm lên cam brt họng gió brt co gió intake kim phun brt ống xả arka g mâm xe rcb sơn màu vàng cát bộ mạch tăng sáng demi đổi màu auto passing chỉnh trên app đt yên xe tấn tài cặp vỏ michelin gp mới thay máy móc hoạt động hoàn hảo do mới bảo trì bs tp dễ nhìn dá ra đi x x có như không nếu nhiệt tình xe công chứng nốt nhạc do ngay chủ đầu tiên anh em có nhu cầu xin liên hệ,True,False,False,False,True,False,11.289794413577894,13333.333333333334,1,0,6,False,2,Tay Ga Zin - Chính Chủ
22.5,Quận 1,Honda,Vision,46000,Tay ga,100 - 175 cc,Việt Nam,6,Honda Vision,visino đỏ nâu đăng ký ban vision đỏ nâu đăng ký lần đầu khóa smartkey bs tphcm máy nguyên bản áo có trầy nhẹ ace nào thích alo mình để hổ trợ giá chạy tốt e không nhận tn cam on ace da xem bai ak,True,False,False,False,False,False,10.736418414365376,6571.428571428572,1,0,6,False,9,Tay Ga - Zin (Không Chính Chủ)
10.8,Quận 1,Honda,Air Blade,51000,Tay ga,100 - 175 cc,Việt Nam,16,Honda Air Blade,xe nhà dư cần bán air blade fi xe nhà dư cần bán xe air blade fi phun xăng điện tử tiết kiệm xăng động cơ êm ái ái áo còn mới đẹp mua về chỉ sử dụng không làm gì hết biển số thành phố gtđđ không chính chủ bán bao tranh chấp tại nhà xem xe quận bớt ít thôi nhé,False,False,False,False,True,False,10.839600519357369,3000.0,1,0,6,False,8,Tay Ga - Chính Chủ (Không Zin)
25.8,Quận 1,Honda,Future,15000,Xe số,100 - 175 cc,Other,4,Honda Future,future led đăng ký đen nhám bánh mâm xe biển số thành phố đổi xe khác nên mình cần bán lại xe máy honda future led đăng ký đen nhám bánh mâm xe biển số thành phố xe dán keo nguyên con nên tháo keo là mới rất mới xe chính chủ bà xã đứng tên và sử dụng chạy ít chủ yếu đi làm hàng ngày văn phòng hằng ngày quãng đường đúng khuyến mãi máy móc nguyên nguyên bản bảo trì bảo dưỡng định kỳ thay nhớt định kỳ đầy đủ xe công chứng mua bán sang tên hay ủy quyền đều được giá bán triệu ngàn bác nào có ý định trả giá dưới triệu xin vui lòng không liên hệ để tránh mất thời gian bên ạ e xin cảm ơn liên hệ chủ xe quyên chin chin chin hai xem xe tại nhà đinh tiên hoàng quận,True,True,False,False,True,False,9.61587214452889,3000.0,2,0,3,False,2,Tay Ga Zin - Chính Chủ
12.0,Quận 1,Honda,Air Blade,56688,Tay ga,100 - 175 cc,Other,8,Honda Air Blade,air blade màu hot còn mới đẹp mình trải nghiệm xong chia lại cho ai đam mê xe air blade đời xe màu xám tím ca may còn mới đẹp động cơ êm ái ái đã thay nhớt đầy đủ xe bán triệu giá này đọc kỹ giúp rồi dt cho mình mình chỉ bán cho người sử dụng anh em mua bán xe xin bỏ qua,False,True,False,False,False,False,10.945335467367387,6298.666666666667,1,0,3,False,10,Tay Ga Phổ Thông - Đại Trà
25.99,Quận 1,Yamaha,Mio,4900,Tay ga,100 - 175 cc,Nhật Bản,3,Yamaha Mio,yamaha fino sporty chính chủ xe yamaha mio fino nhập indo chính chủ quãng đường khuyến mãi xem xe tại bùi viện phường phạm ngũ lão quận tphcm xem xe liên hệ gặp minh,False,False,False,False,True,False,8.497194544909547,1225.0,1,0,2,False,8,Tay Ga - Chính Chủ (Không Zin)
32.0,Quận 1,Honda,Vario,27000,Tay ga,100 - 175 cc,Thái Lan,6,Honda Vario,vario đen nhám nợ nần bán xe m đang đứng uỷ quyền mua bán sang tên hợp lệ xe về đổ xăng là chạy,False,False,False,False,False,False,10.203629181337648,3857.1428571428573,1,0,4,False,10,Tay Ga Phổ Thông - Đại Trà
36.0,Quận 1,Honda,MSX 125,3263,Tay ga,100 - 175 cc,Việt Nam,2,Honda MSX 125,cần bán sửa dụng tháng trầy vài vết nhẹ xe còn mới,False,False,False,False,False,False,8.090708716083997,1087.6666666666667,1,0,6,False,10,Tay Ga Phổ Thông - Đại Trà
40.0,Quận 1,Honda,Air Blade,1000,Tay ga,100 - 175 cc,Việt Nam,1,Honda Air Blade,air blade dky lan đầu quãng đường chưa đến khuyến mãi ạ xem xe trực tiếp tại a cống quỳnh liên hệ em,False,False,False,False,False,False,6.90875477931522,500.0,1,0,6,False,10,Tay Ga Phổ Thông - Đại Trà
6.8,Quận 1,Honda,Wave,23015,Xe số,100 - 175 cc,Việt Nam,14,Honda Wave,xe wave rsx mua xe mới nên dư xe wave nhà đi mới thay nhớt bố thắng cổ ống xả viết giấy bao tranh chấp giao giấy đăng ký,False,True,False,False,False,False,10.043944905231385,1534.3333333333333,2,0,6,False,10,Tay Ga Phổ Thông - Đại Trà
8.5,Quận 1,Honda,Lead,92000,Tay ga,100 - 175 cc,Việt Nam,15,Honda Lead,xe chính chủ nhà dư xe nên cần thanh lý sang tên liền tay xem xe tại quận tphcm,False,False,False,False,True,False,11.429554725537322,5750.0,1,0,6,False,8,Tay Ga - Chính Chủ (Không Zin)
120.0,Quận 1,Royal Enfield,Interceptor 650,11500,Tay côn/Moto,Trên 175 cc,Other,6,Royal Enfield Interceptor 650,bán royal enfield interceptor hết đam mê ra đi em royal enfield interceptor đăng ký chính chủ biển hn quãng đường xe khuyến mãi tặng kèm cặp thùng civi chính hãng cặp ống xả dusland chính hãng nốt giá cả còn thương lượng,False,False,False,False,True,False,9.350189267092581,1642.857142857143,0,3,3,False,7,Tay Ga Nhỏ (<50cc) - Chính Chủ
12.9,Quận 1,Honda,Air Blade,9999,Tay ga,100 - 175 cc,Nhật Bản,15,Honda Air Blade,air blade nguyên bản xe nguyên bản nguyên bản căng đét biển sg máy nguyên bản qúa chất chạy im ru như xe điện xe cầm thương lượng chủ kí khó bao tranh chấp,True,False,False,False,False,False,9.210340371976184,624.9375,1,0,2,False,9,Tay Ga - Zin (Không Chính Chủ)
17.0,Quận 1,Honda,other,8000,Xe số,50 - 100 cc,Việt Nam,1,Honda other,wave alpha cần bán wave alpha kiểng nhẹ biển số thành phố c mới đi được khuyến mãi giá triệu không,False,False,False,False,False,False,8.987321812850125,4000.0,2,1,6,False,10,Tay Ga Phổ Thông - Đại Trà
72.0,Quận 1,Honda,SH,35000,Tay ga,100 - 175 cc,Việt Nam,6,Honda SH,shvn abs như tiêu đề mình cần bán nhanh chính chủ biển số thành phố dễ nhìn vừa dán decal đổi màu xám lampo dàn chân sơn sporty mới còn mới đẹp máy móc êm ái ru bảo dưỡng định kỳ định kỳ cảm ơn chotot duyệt tin,False,False,False,False,True,False,10.463131911491967,5000.0,1,0,6,False,8,Tay Ga - Chính Chủ (Không Zin)
