price,location,brand,model,km_driven,age,brand_model,description,xe_zin,xe_da_thay_doi,xe_co,xe_pkl,xe_chinh_chu,xe_nang_cap,log_km,km_per_year,vehicle_type_num,engine_capacity_num,origin_num,vtype_Tay ga,vtype_Xe số,engine_50 - 100 cc,engine_Dưới 50 cc,engine_Trên 175 cc,origin_Mỹ,origin_Nhật Bản,origin_Other,origin_Thái Lan,origin_Trung Quốc,origin_Việt Nam,origin_Đài Loan,origin_Đức,origin_Ấn Độ,vtype_display,is_outlier,cluster,vehicle_type_display,cluster_label
11.0,Quận Bình Tân,Honda,Wave,100000,15,Honda Wave,cần bán xe gấp xe rất còn mới đẹp nữ đi rất kỹ cần bán lại cho ai cần dùng,False,False,False,False,False,False,11.51293546492023,6250.0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Xe số,False,0,Xe số,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
23.8,Quận Bình Tân,Yamaha,Mio,65000,2,Yamaha Mio,bán mio m đăng ký biển số thành phố chính chủ xe lướt mio m đăng ký biển số thành phố chính chủ xe lướt quãng đường khuyến mãi bao không tua tua tăng xe biển số thành phố số giấy đăng ký vàng chính chủ ký uỷ quyền hay mua bán nhanh lẹ máy móc nguyên nguyên bản êm ái chưa đụng chạm bất cứ gì dàn áo nguyên nguyên bản theo xe bóng loáng còn kiếng nguyên bản dàn chân sạch sẽ ốc tán bảy màu điện đề đầy đủ full đề nhẹ là nổ xem xe trực tiếp tại nhà,True,False,False,False,True,False,11.082157933374816,21666.666666666668,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay ga,False,3,Tay ga,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
1.7,Quận Bình Tân,Honda,Cub,45577,25,Honda Cub,thanh lý bán nhanh cub chính chủ đã độ xe lên chính chủ máy mạnh đạp nhẹ là nổ có đèn xi và xi nhanh giá này anh em tự hiểu chạy tiết kiệm xăng anh em mua nhắn mình xe cứng cáp chắc chắn bao chở nặng làm ctrinh thank chợ chạy tốt duyệt tin,False,False,False,False,True,True,10.727180422942716,1752.9615384615386,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Xe số,False,0,Xe số,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
2.6,Quận Bình Tân,Honda,other,16000,13,Honda other,cần bán xe wave do không có nhu cầu sử dụng xe đã qua sử dụng xuất sứ trung quốc xe vẫn còn ok sử dụng chạy tốt,False,False,False,False,False,False,9.680406499268875,1142.857142857143,2,1,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Xe số,False,2,Xe số,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
52.0,Quận Bình Tân,Honda,Vario,75000,8,Honda Vario,xe nhà đang chạy hết tiền nên bán xe đang sử dụng máy chưa sửa chữa đã xin đổi màu xe từ đen sang đỏ tại ca quận bình tân có bảo hành test xe tháng,False,True,False,False,False,False,11.225256725762893,8333.333333333334,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Tay ga,False,2,Tay ga,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
4.3,Quận Bình Tân,Honda,Wave,36000,22,Honda Wave,wave han quốc đời đầu wave han quốc máy mới lamy bánh mâm xe máy rất im giấy tờ đầy đủ thích hợp anh em đi cày bừa,False,False,False,False,False,False,10.491301994830229,1565.2173913043478,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Xe số,False,0,Xe số,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
8.0,Quận Bình Tân,Yamaha,Nouvo,50,13,Yamaha Nouvo,chính chủ bán xe nouvo màu bạc tím biển số sg bán yamaha nouvo màu tím bạc y hình xe chính chủ biển số sg máy chạy êm ái đèn đề đầy đủ giấy tờ đầy đủ công chứng ngay miễn tiếp cò lái xem xe tại nhà ở bình tân,False,False,False,False,True,False,3.9318256327243257,3.5714285714285716,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Tay ga,False,4,Tay ga,Tay Ga Mới - Ít Sử Dụng (Như Mới)
21.0,Quận Bình Tân,Honda,PCX,40000,14,Honda PCX,tìm chủ mới cho honda honda pcx xe đăng ký chưa từng đụng hay va chạm xe sử dụng kĩ năm chỉ sử dụng tháng chạy gần nhà do chủ ở nuớc ngoài màu nguyên bản giấy đăng ký xe chính chủ giao xe khu tên lửa quận bình tân,True,False,False,False,True,False,10.596659732783579,2666.6666666666665,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Tay ga,False,2,Tay ga,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
4.3,Quận Bình Tân,Suzuki,Smash,15000,15,Suzuki Smash,suzuki mash revo động cơ êm ái ái mạnh cần bán xe suzuki nhật giấy tờ đầy đủ máy nguyên bản êm ái như anpha sườn cứng cáp bao cứng cáp thắng đĩa bình đề đèn kèn xi nhan hoạt động chạy tốt báo xăng hoạt động nghiêm chỉnh bán tại nhà bao tranh chấp xe động cơ êm ái ái rất ngon bớt ít lộc cho anh em thiện chí,True,False,False,False,False,False,9.61587214452889,937.5,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Tay ga,False,0,Tay ga,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
2.1,Quận Bình Tân,Honda,other,898989,38,Honda other,xe động cơ êm ái ái điện dèn đầy đủ xe như hình xe động cơ êm ái ái điện đèn đầy đủ xe nhà đang chạy ai có nhu cầu liên hệ,False,False,False,False,False,False,13.709027189921368,23051.0,2,1,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Xe số,False,2,Xe số,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
17.0,Quận Bình Tân,Yamaha,Exciter,450000,7,Yamaha Exciter,cần bán cần bán exciter đăng ký năm máy móc nguyên nguyên bản sđt,True,False,False,False,False,False,13.017005083966255,56250.0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Tay côn/Moto,False,2,Tay côn/Moto,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
5.0,Quận Bình Tân,Honda,67,100000,46,Honda 67,xe huyền thoại thanh lý xe như hình xe để trong kho lâu không đi để lâu chắc máy không nổ được anh em mua về sửa lại dọn lại có giấy tờ ai quan tâm liên hệ,False,False,False,False,False,True,11.51293546492023,2127.659574468085,2,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Xe số,False,0,Xe số,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
